The Brooklyn Hospital Center,,,
Charge Master Pricing,,,
,,,
The charges listed are generally not the amount a patient will pay.,,,
,,,
Charge No,Charge Description, Standard Charges ,Comment
03630447,BLLN CATH PTA ADVN 014 3MMX10C," 1,543.90 ",
03630456,TUBING SINGL SPIKE INFILTRATIO, 386.79 ,
03630457,BLLN CATH PTA MSTNG 7.0X150X13, 975.09 ,
03630470,DRILL BIT 4.5MM, 942.60 ,
03630471,REAMER PHALANX, 893.84 ,
03630498,DRILL BIT 3.0MM, 845.08 ,
03630501,KNIFE ACL GRAFT 9MM, 471.94 ,
03630504,BLLN CATH STRLNG OTW 4.0X100X1," 1,186.05 ",
03630505,GUIDE SHEATH FLXR 5FRX45 018/0, 157.51 ,
03630513,TOOL LEGEND14CMX3MM, 463.50 ,
03630534,FLOW MATE PROCEDURE, 861.34 ,
03630609,DRILL BIT AT2 MICRO 1.5MM, 949.10 ,
03630610,GUIDEWIRE MICRO  .035, 48.77 ,
03630628,SUTURELASSO 90 DEG CURVE RT, 227.51 ,
03630650,SLOTTED WHISKER 3.8MM X 13CM, 191.78 ,
03630659,BLADE SAGITTAL 18.5MMX7.0MM, 130.68 ,
03630660,BLADE SAGITTAL 15MMX7.0MM, 130.68 ,
03630661,BLADE SAGITTAL 18.5MMX9.0MM, 130.68 ,
03630662,BLADE SAGITTAL 25MMX5.5MM, 130.68 ,
03630663,FISSURE CROSS CUT 1.6X4.5MM, 21.95 ,
03630664,FISSURE CROSS CUT 1.6X6MM, 21.95 ,
03630665,FISSURE CROSS CUT 2.1X7.5MM, 21.95 ,
03630666,FISSURE CROSS CUT 3MM, 21.95 ,
03630667,BUR ROUND 2.3MM, 21.95 ,
03630668,BUR EGG 4X9.5MM, 203.80 ,
03630669,BLADE STERNUM 30.5MM SYS 6, 101.06 ,
03630682,DRILL SCREW SUPERPATH, 247.02 ,
03630691,ADHESIVE SKIN DERMABOND ADV, 799.58 ,
03630700,TOOL LEGEND 9CMX3MM BA, 469.48 ,
03630708,PACK LAMINECTOMY, 360.79 ,
03630709,PACK TONSIL, 97.05 ,
03630710,PACK HEAD & NECK, 173.85 ,
03630711,MAJOR VASCULAR PACK, 318.98 ,
03630712,PACK MAJOR TRANSVERSE, 237.58 ,
03630713,PACK CYSTO, 52.30 ,
03630742,STAPLE DRILL BIT 2.4MM, 682.56 ,
03630743,STAPLE 1.6MMX10MMX10M," 3,737.84 ",
03630748,"SUT PDS 1 TP-1  96""", 50.84 ,
03630768,STAPLE SEAMGUARD 60X3.5MM," 8,073.75 ",
03630769,CATH BLLN DIL NEPHROMAX 30FX12," 1,131.87 ",
03630780,HEALING COLLAR 3.5MM, 113.77 ,
03630787,GLOVE SURG BIOGEL PI SZ6 PERPA, 9.27 ,
03630788,RELOAD STAPLER LNR BLU 60X4.8M, 148.54 ,
03630789,GLOVE ORTHO TRILX SZ71/2 PERPA, 3.32 ,
03630790,SHEATH INTRODUCER SENTRANT 24F, 812.58 ,
03630793,CATH ANGIO 5FR X 100CM ACCU-VU, 163.16 ,
03630804,DRILL BIT 14MM, 239.98 ,
03630816,SUT 2-0 TI-CRON 45CM, 48.85 ,
03630837,CATH PERITONEAL OPEN END 120CM, 513.36 ,
03630842,ADAPTER CAP, 227.82 ,
03630843,BONE GRAFT DELIVERY SYRINGE, 273.39 ,
03630853,CATH IMAGER II 4FX100CMX035, 164.04 ,
03630854,CATH MARINER KUMPE 4FRX100X035, 197.45 ,
03630855,CATH BLLN VASCUTRAK 2.5MMX150M," 3,304.97 ",
03630856,CATH USHER STRAIGHT 7FRX130CM, 911.31 ,
03630860,RELOAD 60MM CRVTP W/TRI-STAPLE, 866.56 ,
03630891,SEEKER CRSSNG SUPPORT 5F 035X9," 5,027.34 ",
03630897,CANNULA PATH DRIVE SHORT, 230.86 ,
03630901,BLANKET HUGGER LOWER BODY, 22.78 ,
03630908,STAPLER EASYCLIP 8MM," 2,414.95 ",
03630909,STAPLE 1.6MM X 12MM X 12MM," 3,493.31 ",
03630911,GUIDEWIRE 1.4MM, 60.75 ,
03630927,CATH TRAY W/URINE METER 16FR5C, 37.71 ,
03630928,SYS PSTNNG PINKPAD PIGAZZI 404, 62.82 ,
03630934,DRILLBIT 2.3MM, 243.02 ,
03630945,R TROCAR BLUNTPORT 5MM-12MM, 31.99 ,
03630946,R TROCAR BLADELESS ENDOPATH 5M, 14.77 ,
03630947,R SYS CLOSURE CARTER THOMPSON, 35.82 ,
03630948,R TROCAR ENDOPATH BLUNT TIP 12, 16.93 ,
03630949,R SHEAR HARMONIC ACE PLUS 36CM, 683.47 ,
03630950,R TROCAR VERSAPORT BLADELESS 1, 14.82 ,
03630951,R TROCAR  BLADELESS STD  5MM C, 14.82 ,
03630953,TUBE TRACH SHILEY SZ 8 SCT ADU, 83.14 ,
03630954,PAD ABD 5X9 1/2 STER, 0.19 ,
03630955,GUAZE SPONGE XRAY DTCTBL 4X4, 1.70 ,
03630956,CATH BLLN PTA COYOTE 3X100 150," 1,216.20 ",
03630957,SPONGE GAUZE 4 X 4, 1.23 ,
03630974,NERVE GUIDE 2MMX3CM," 6,139.13 ",
03630980,DIGITTRAP FINGER GRSPNG DVC LG, 47.34 ,
03631001,GUIDEWIRE BALL TIP 2.5X800MM, 847.51 ,
03631002,GUIDEWIRE SMOOTH TIP 2.2X800MM, 847.51 ,
03631003,DRILL AO 3.5X130MM, 847.51 ,
03631004,DRILL AO 3.5X230MM, 847.51 ,
03631005,TUBE TEFLON T2," 1,166.46 ",
03631008,KIT STD BALL STRGT BLSTR 24F, 212.64 ,
03631020,CATH ULTRAVERSE PTA BLLN 3.9X1," 1,336.57 ",
03631030,DRILL TWIST 1.9MM, 410.09 ,
03631037,BLADE SAW ACL MICRO 9.5MMX25.7, 22.93 ,
03631039,SPONGE GAUZE ADVANT  4 X 4, 0.09 ,
03631047,ROTAWIRE GUIDE WIRECLIP 009X33, 781.89 ,
03631048,ROTALINK PLUS BURR CATH 1.75X0," 9,371.20 ",
03631054,SPONGES GAUZE  4X4, 0.97 ,
03631055,BUR CRSS CUT FSSR CARBIDE 1.6M, 23.82 ,
03631056,STAPLE SEAMGUARD BSRBBL 45X3.5, 602.46 ,
03631060,DRESSING GRANUFOAM  BRIDGE XG, 174.89 ,
03631062,LIGHT GLOVE HANDLE, 2.00 ,
03631072,DRILL BIT CANN  2.2MM, 756.38 ,
03631075,CANNISTER W/O GEL INFO VAC 500, 97.79 ,
03631076,INSUFFLATION TUBING SET W/FILT, 762.45 ,
03631080,CUFF DUAL PORT 24IN DISP, 143.71 ,
03631081,"SUT VICRYL PLUS 2-0  SH  27""", 563.85 ,
03631082,CATH (EH) ACUITY PRO 9FRX45CM," 1,503.65 ",
03631083,CATH MP ACUITY PRO 9FRX45CM," 1,503.65 ",
03631085,DRESSING VAC GRANUFOAM LRG, 167.47 ,
03631087,CROSSER CTO RCNLZTN 5FRX106CM," 6,986.63 ",
03631098,CATH ANGIO OMNI FLUSH 4FRX90CM, 197.45 ,
03631111,KIT PSTNNG PINKPAD PIGAZZI 405, 225.27 ,
03631113,DISSECTING TOOL T14  (MIDAS RE, 492.10 ,
03631121,BUR OVAL CARBIDE 4.0MM, 100.49 ,
03631122,CATH BLLN PTA MSTNG 6X150 75CM, 911.31 ,
03631126,CATH SUPER STIFF 035X260CM, 546.78 ,
03631129,G-WIRE V-14 CNTRL  8CMX014X300," 3,645.20 ",
03631130,ANCHOR SUT BIOCMP 4.5X14 CRKSC, 987.25 ,
03631131,SEALER/DIVIDER LIGASURE 5-44CM," 1,770.97 ",
03631132,DISSECTOR ULTRASONIC 5MM-39CM," 1,251.53 ",
03631134,KIT STOMAHESIVE 70MM (2 3/4), 6.77 ,
03631144,DRILL BIT 2.5MM 58850025, 455.65 ,
03631145,DRILL BIT 2.5MM 58850028, 455.65 ,
03631150,DRILL BIT 2.0MM, 531.60 ,
03631236,BIT DRILL CANN 2.7MM QCK RLS," 1,032.81 ",
03631267,DRILL PILOT 2.0MM, 577.16 ,
03631271,BUR XCUT FIS CARBIDE 1.6MM, 24.44 ,
03631272,APPLIER CLIP EPIX UNIVERSAL M/, 258.21 ,
03631273,CATH MARINER NB 038 4FX80CM, 197.45 ,
03631284,CATH URTRL OPEN END 6FR, 45.26 ,
03631285,CATH URTRL OPEN END CONT TIP 8, 49.17 ,
03631286,CATH URTRL OPEN END FLEX TIP 5, 49.17 ,
03631287,BLLN DILATOR ULTRA NPHRSTM 30F, 751.89 ,
03631290,SHEATH FLXR URTRL ACCSS 12/14X, 357.96 ,
03631291,SHEATH FLXR URTRL ACCSS 12/14X, 357.96 ,
03631292,SHEATH FLXR URTRL ACCSS 12/14X, 357.96 ,
03631293,CATH DL URETERAL ACCESS 10FR, 148.78 ,
03631294,EXTRCTR STONE CPTR HELICAL 7FR, 510.22 ,
03631295,EXTRCTR STONE CPTR HELICAL 3.2, 510.22 ,
03631296,GUIDEWIRE NCIRCLE 2.2X115CM, 502.37 ,
03631298,FORCEPS CUP BIOPSY 3.3FR, 926.43 ,
03631300,GUIDE HIWIRE 025, 93.99 ,
03631301,GUIDEWIRE STR STIFF .038X150CM, 93.99 ,
03631305,GUIDE HIWIRE 035, 93.99 ,
03631306,GUIDE HIWIRE STRGHT STIFF 038, 147.69 ,
03631307,GUIDE WIRE AMPLTZ STIFF 035X14, 89.11 ,
03631312,GUIDEWIRE 86MM, 60.75 ,
03631314,SET PROBE CYBERWAND RENAL/BLDD," 2,606.20 ",
03631320,DRILL CANN F/SCREW 3MM, 786.76 ,
03631324,DRILL CANN QUICK RELEASE 3/4MM," 1,002.43 ",
03631326,DRILL COUNTERSINK CANN 3/4MM," 1,291.01 ",
03631333,BIT DRILL CANN 1.7MM QUICK RLS," 1,002.43 ",
03631343,BUR CARBIDE RND LNG 3.0 MM, 103.01 ,
03631348,GUIDEWIRE W/HDRPHLC 018X300CM, 293.80 ,
03631351,BNDG GAUZE SUPRA FORM 6X80IN, 0.95 ,
03631353,HIWIRE GUIDE ANGLED STNDRD 035, 93.99 ,
03631354,WIRE GUIDE BENTSON 035, 57.27 ,
03631355,WIRE GUIDE PTFE 035, 41.74 ,
03631356,CATHETER KUMPE 5FR, 85.27 ,
03631361,BUR XCUT FIS CARBIDE 2.1MM, 24.44 ,
03631365,CANNISTER INFO VAC 500ML, 111.48 ,
03631366,RETRACT WOUND ABD SM 2.5-6CM, 107.85 ,
03631373,SMOKE EVACUATION PENCIL," 2,217.49 ",
03631374,CATH BLLN STERLING OTW 5X80X13," 1,108.43 ",
03631375,CATH BLLN STERLING OTW 6X80X13," 1,108.43 ",
03631381,SHEATH INTRO CLASSIC 6FX13CM, 179.23 ,
03631411,SUT QUILL SYNTHETIC PDO -2 36X, 65.59 ,
03631416,MATTRESS PATIENT TRANS39X78INL, 331.11 ,
03631417,CATH RUBICON SPPRT 5FRX035X90C, 497.14 ,
03631418,INTRODUCER FLEXOR CHECKFLO 12F, 308.60 ,
03631420,ELECTRODE LARGE ROLLER EGG, 438.04 ,
03631421,PENCIL CAUTERY FINE TIP DISP, 23.34 ,
03631422,TUBE TRACH FEN UNCUFF SZ 6.0, 147.57 ,
03631430,CATH FOLEY COUDE 3WAY 20FR 30, 76.53 ,
03631439,DRILL BIT PROXIMAL, 256.68 ,
03631441,BNDG GAUZE SUPRA FORM 4X75IN, 0.62 ,
03631442,NDL BONE MARR STD 15GX2IN, 66.83 ,
03631452,SUT PROLENE 6-0 MONO BV 24IN, 538.19 ,
03631454,SUT VICRYL PLS 3-0 PS-1 27IN, 36.79 ,
03631455,SUT VICRYL PLS 2-0 CT-1 36IN, 16.59 ,
03631456,BANDAGE GAUZE SUPRA FORM2X75IN, 0.48 ,
03631457,CANNISTER INFO VAC 1000ML, 180.32 ,
03631458,KNIFE CARPAL TUNNEL 1 PIECE, 523.09 ,
03631461,SLEEVE FLWTRN CALF STNDRD RDVD, 33.42 ,
03631463,SLEEVE FLWTRN THIGH LG RDVT40, 45.57 ,
03631464,SLEEVE FLWTRN THIGH XXL RDVT60, 33.42 ,
03631465,SLEEVE FLWTRN CALF LG RDVT20, 33.42 ,
03631466,SENSOR OXYGEN ADULT, 18.23 ,
03631467,SLEEVE FLWTRN CALF LRG, 33.42 ,
03631470,SHEAR HARMONIC ACE PLUS 23CM," 1,352.70 ",
03631471,PROBE STONEBREAKER 2.0MM, 529.32 ,
03631479,GUIDE-WIRE .035X4IN SNGL TROCA, 75.95 ,
03631481,DEVICE MARYLAND JAW STL 37CM," 1,462.57 ",
03631482,"SUT VICRYL PLUS 4-0  PC-1 18""", 41.16 ,
03631487,BLADE SURGICAL," 1,746.67 ",
03631491,BANDAGE GAUZE CNFRM STRTCH 3X7, 0.41 ,
03631502,GUIDE-WIRE THRDD 1.25MM, 115.20 ,
03631545,STERLE SALINE SIZER 300CC, 151.88 ,
03631557,STENT URETERAL W/INTRDCR 6X26C," 2,667.07 ",
03631573,BIT DRILL 2.0MM, 252.12 ,
03631577,TAKS THRDD 1.6MM, 212.64 ,
03631591,FLIPCUTTER 10MM, 987.25 ,
03631596,PACK AV FISTULA, 210.76 ,
03631597,PACK ARTHROSCOPY, 190.20 ,
03631598,PACK CRANIOTOMY, 657.16 ,
03631599,PACK CYSTO, 51.16 ,
03631600,PACK EXTREMITY, 156.98 ,
03631601,PACK GENERAL LAPAROSCOPY, 212.59 ,
03631603,PACK GYN LAPAROSCOPY, 127.64 ,
03631604,PACK HAND, 151.77 ,
03631605,PACK HEAD & NECK, 158.61 ,
03631606,PACK LAMINECTOMY, 335.73 ,
03631607,PACK LITHOTOMY, 91.71 ,
03631608,PACK GENERAL MAJOR, 148.33 ,
03631609,PACK VASCULAR MAJOR, 301.08 ,
03631610,PACK GENERAL MINOR, 118.93 ,
03631611,PACK TONSIL, 97.21 ,
03631612,PACK C-SECTION, 183.60 ,
03631613,PACK DELIVERY, 76.43 ,
03631643,BLADE CURVED DOUBLECUT 4.0MM, 200.49 ,
03631644,BLADE DOUBLECUT 5.5MM, 179.23 ,
03631645,BURR OVAL CLEARCUT 5.5MM, 200.49 ,
03631646,DISSECTOR (SHAVER) 5.0MM, 179.23 ,
03631667,DRILL BIT CANN 2.5MM, 510.33 ,
03631672,DURASPHERE  INJ NDL  20G, 54.68 ,
03631686,SUT TICRON BL1X 36 CV316 4/0 D, 41.28 ,
03631687,SUT MXN GR 4/0 1 X 30 T-31CV-2, 20.93 ,
03631688,SUT MXN GR 01 1 X30 T-12GS-21, 21.75 ,
03631689,SUT MXN GR 5 X18 01 T-20GS-25, 19.96 ,
03631693,STAPLER GIA UNIVERSAL, 291.07 ,
03631694,RELOAD ENDO GIA 60MM CVD TIP, 866.56 ,
03631695,ENDO CLINCH II 5MM, 212.21 ,
03631696,RELOAD ABSRBBL V-LOC 90  3-0 U, 83.33 ,
03631697,STAPLER SKIN 35W SIGNET, 34.19 ,
03631723,DISTAL BICEP REPAIR KIT," 2,582.01 ",
03631773,BIT DRILL CANN 4.7MM QUICK RLS," 1,339.62 ",
03631777,STAPLE COMPRESSION 20 X 25L," 1,442.90 ",
03631809,SYS DEL TRIM-IT DRILL 1.5X100, 637.90 ,
09000020,RCVRY ROOM," 1,153.88 ",
27000009,O.R.SUPP., 631.67 ,
27001056,DERMATONE CUTTING HEAD, 79.66 ,
27001290,JACKSON PRATT DRAIN, 384.69 ,
27001343,DRILL BIT 2.0MM WITH DEPTH MAR," 1,021.71 ",
27001351,ANTANNAE 37092, 286.69 ,
27001356,DSG V.A.C. WHITE FOAM LG, 43.98 ,
27001360,POSITIONER UNIV LAT HIP 1092-P, 92.57 ,
27001361,PERFORATOR DISPOSABLE, 781.19 ,
27001362,DRILL AO 1806-42705, 842.11 ,
27001363,GUIDEWIRE BALL TIP 1806-00805, 720.05 ,
27001365,DRILL AO 1806-42605, 813.45 ,
27001366,GUIDE WIRE BALL TIP 1806-00855, 820.52 ,
36010970,GLIDECATH ANG TAP 65 LN CG415," 1,046.48 ",
36011460,GUIDEWIRE STD.035X180X3 GR3508, 700.34 ,
36050020,ADAPTER SAFETY RE-USEABLE 4052, 107.51 ,
36050040,ADAPTER Y 0.118, 98.56 ,
36050050,ADHESIVE SURG BIOGLUE 5ML," 1,859.83 ",
36050060,ADHESIVE TOP PROPEN DRMBND.5ML, 109.84 ,
36050070,ADHESIVE TOP SKIN DERMABOND, 77.03 ,
36050080,AEROSOL INTRAPLEURAL 1680, 358.34 ,
36050090,AIRWAY I-GEL SUPRAGLOTTIC SZ 4, 48.37 ,
36050120,ANCHOR MITEK MINI QUICK, 726.74 ,
36050130,APPLCTR ENDO FLO SEAL 1500181, 201.64 ,
36050150,APPLIER CLIP ENDOCLIP LG-HEMO," 1,035.69 ",
36050160,APPLIER CLIP ENDOCLIP MD-LG, 332.19 ,
36050170,APPLIER CLIP LAPRO CA090, 244.23 ,
36050180,APPLIER CLIP TIT 5MM LAVENDER, 900.61 ,
36050190,APPLIER HEMOCLIP LG, 62.43 ,
36050200,APPLIER HEMOCLIP MED, 52.23 ,
36050210,APPLIER SURGICLIP TIT LG 13.0, 184.54 ,
36050220,APPLIER SURGICLIP TIT MED 11.5, 217.41 ,
36050230,APPLIER SURGICLIP TIT SM 9.0, 184.54 ,
36050250,AUTOSONIX FINGER TRIGGER, 57.89 ,
36050260,BAG DRAINAGE 10-210, 126.50 ,
36050270,BAG INFUSOR PRESS 500ML IN8000, 114.66 ,
36050290,BANDAGE ESMARK 4X4YD, 45.09 ,
36050300,BANDAGE ESMARK 6X4YD, 38.67 ,
36050310,BARRIER ADH SEPRAFILM 5X6IN, 447.93 ,
36050320,BASIX COMPAK INFLATION IN4130, 101.78 ,
36050340,BINDER PERSONAL 10, 49.53 ,
36050360,BIT DRILL 3 FLT 2.7X125 315.28, 388.74 ,
36050390,BIT DRILL PERCUT 2.8MM 324.214, 571.06 ,
36050410,BIT DRILL QC 1.5X85 310.15, 135.45 ,
36050430,BIT DRILL QC 2.0 X125 310.21, 150.75 ,
36050450,BIT DRILL QC 2.8X165 310.288, 388.74 ,
36050470,BIT DRILL QC 3.5X110 310.35, 149.96 ,
36050500,BIT DRILL QC GD 2.5X110 310.25, 149.96 ,
36050560,BLADE DERMATOME STER ZIM, 109.51 ,
36050570,BLADE FULL RADIUS RESECTOR 3.5, 143.34 ,
36050580,BLADE GATOR SHAVER 4.2MM, 143.34 ,
36050610,BLADE MYRINGOTOMY ANGLED, 41.47 ,
36050650,BLADE SAW GIGLI 280801, 63.87 ,
36050690,BLADE SAW STERNUM 26-7010, 71.28 ,
36050730,BNDG SPLINT ROLL 3X15 OG 3L, 131.48 ,
36050750,BOWL CEMENT MIXING MIXEVAC III, 238.10 ,
36050760,BRA POST SURG MED, 58.58 ,
36050800,BUR CARBIDE TAPER 04-C0601, 41.93 ,
36050860,BUR MED ROUND HEAD 4.0MM, 68.08 ,
36050990,CANNULA CRYSTAL 5.75MM X 7CM, 89.59 ,
36051000,CANNULA INST 7MM, 89.59 ,
36051010,CANNULA TWIST-IN 8.25MMX7CM, 149.44 ,
36051060,CATH 3-LUMEN M3720HKIC, 106.41 ,
36051080,GUIDE CATH ANGIO 5FR 13709701, 336.13 ,
36051120,CATH ANGIO 5FRX70CM, 314.14 ,
36051150,CATH ANGIO OMNI FLUSH 5FR, 232.77 ,
36051160,CATH ANG PLUS OTW ATLS 75X4X14," 1,182.53 ",
36051180,CATH ANG SOFT-VU 5FR 65CM .038, 90.31 ,
36051190,CATH ANG SOFT-VU BR 5-100 .038, 90.31 ,
36051200,CATH ANG SOFT-VU KP 5-65 .038, 82.07 ,
36051210,CATH ANG SOFT-VU SOS 5-80 .035, 86.01 ,
36051260,CATH ARTERIAL EMBO 3FRX80CM, 128.58 ,
36051270,CATH ARTERIAL EMBO 4FRX80CM, 180.02 ,
36051280,CATH ARTERIAL EMBO 5FRX80CM, 128.58 ,
36051370,CATH BALN ANGI DIL XXL 12/4/75, 996.57 ,
36051380,CATH BALN ANGI DIL XXL 14/4/75, 996.57 ,
36051640,CATH BALN DIL CONQ 6MM CQ-7564, 949.63 ,
36051650,CATH BALN DIL CONQUEST 6MMX8CM, 949.63 ,
36051660,CATH BALN DIL CONQUEST 7MMC6CM, 949.63 ,
36051670,CATH BALN DIL CONQUEST 8MMX4CM, 949.63 ,
36051680,CATH BALN DIL CONQUEST 8MMX6CM, 949.63 ,
36051700,CATH BALN DIL CONQUEST 9MMX4CM, 949.63 ,
36051710,CATH BALN DIL NEPHROMAX 7FR," 1,071.10 ",
36051800,CATH BALN DIL PTS   6X120X120," 1,247.05 ",
36051960,CATH BALN GASTRIC SUCTI B-2020, 452.14 ,
36052170,CATH BALN SPCMKR RND DISS SMBT," 1,158.57 ",
36052210,CATH BALN UTERINE THERAPY TC00," 3,056.70 ",
36052250,CATH CHOLANGIOGRAPHY 4FRX40CM, 80.46 ,
36052260,CATH CLOSURE PLUS 6FRX100CM," 2,598.01 ",
36052270,CATH CLOSURE PLUS 8FRX100CM," 2,598.01 ",
36052290,CATH CPS LUM LG CUR XLG 402851," 3,404.29 ",
36052420,CATH DRAIN THORACIC 40FR 51CM, 42.20 ,
36052650,CATH FOLEY 30ML 14FR RIBBED, 35.73 ,
36052660,CATH FOLEY 30ML 16FR 3WAY, 37.17 ,
36052670,CATH FOLEY 30ML 18FR 3WAY, 49.81 ,
36052690,CATH FOLEY CARSON 5ML 14FR, 56.60 ,
36052700,CATH FOLEY CARSON 5ML 16FR, 60.56 ,
36052710,CATH FOLEY CARSON 5ML 20FR, 38.61 ,
36052720,CATH FOLEY COU 30ML 22 RIB BAL, 48.70 ,
36052730,CATH FOLEY COUNCIL 18FR 5CC 2W, 43.23 ,
36052740,CATH FOLEY COUNCIL 5ML 20FR, 60.56 ,
36052750,CATH FOLEY COUNCIL 6ML 22FR, 38.61 ,
36052760,CATH FOLEY DOVER SIL 5ML 16FR, 178.04 ,
36052770,CATH FOLEY DOVER SIL 5ML 20FR, 34.89 ,
36052790,CATH GEMINI STNE RETRV 3X90X11, 790.14 ,
36052850,CATH INTRAVASCULAR 8FRX60CM," 2,428.04 ",
36052890,CATH LOPRO PORT W/CATH TIT 6.6," 1,824.00 ",
36052910,CATH MALECOT 4WING 12FR, 39.06 ,
36052920,CATH MALECOT 4WING 14FR, 40.19 ,
36052950,CATH MALECOT 4WING 22FR, 40.19 ,
36052970,CATH MALECOT 4WING 26FR, 40.19 ,
36052990,CATH MALECOT 4WING 34FR, 39.06 ,
36053000,CATH MALECOT 4WING 36FR, 40.19 ,
36053050,CATH OMLULSION EQUALIZER 7FX65, 860.03 ,
36053070,CATH OVER THE WIRE 1.5ML, 279.52 ,
36053100,CATH PERI SIL DS 135X2.6X .014," 13,714.25 ",
36053130,CATH PERTONEAL TENEKOFF 57CM C, 256.58 ,
36053220,CATH PIGTAIL ANGIOPTIC 4FRX65, 150.50 ,
36053230,CATH PIGTAIL ANGIOPTIC 5FRX65, 86.01 ,
36053250,CATH PTA DIL BALN 12X4X75," 1,182.53 ",
36053270,CATH PTA DIL BALN 7X4X75, 949.63 ,
36053290,CATH PTA DIL BALN 8X8CM," 1,021.30 ",
36053400,CATH QUICK CROSS  .014 X 135CM, 598.45 ,
36053410,CATH QUICK CROSS  .018 X 135CM, 598.45 ,
36053420,CATH QUICK CROSS .035 X 135CM, 598.45 ,
36053430,CATH QUICK CROSS .035 X 90CM, 598.45 ,
36053440,CATH QUICK CROSS .035X65CM, 598.45 ,
36053450,CATH QUICK CROSS EXT.035 X 135, 623.52 ,
36053470,CATH RT SIDE W/FOOTBALL TUN 6," 1,272.13 ",
36053480,CATH SENSOR ABDOMINAL 7FR, 100.82 ,
36053550,CATH STENT GRA BALN 8-12 10-46," 1,490.33 ",
36053570,CATH URET 5FR OPEN TIP, 48.43 ,
36053580,CATH URET 6FR OPEN TIP, 51.53 ,
36053600,CATH URETERAL 4FR, 47.05 ,
36053610,CATH URETERAL 5FR, 117.61 ,
36053620,CATH URETHERAL DUAL LUMEN 10FR, 144.25 ,
36053630,CATH URETHERAL DUA LUM 10FR 50, 171.11 ,
36053650,CATH URETHERAL SIX EYES LAT 22, 57.39 ,
36053660,CATH URETHERAL SIX EYES LAT 24, 57.39 ,
36053700,CATH VENTRICULAR MONITO ICP LG, 318.16 ,
36053720,CATH WHISTLE TIP AINSWORTH 24, 39.28 ,
36053730,CAUTERY ELECTRODE LIGASURE AXS, 702.62 ,
36053750,CAUTERY ELECTRODE LIGASURE XTD, 507.97 ,
36053800,CLIP VASCULAR 3/4 6MM A1801, 54.11 ,
36053820,COLLAR CERVICALPHILADE W/TR XL, 83.78 ,
36053860,CONTRAST VISIPAQUE 320MG 100ML, 241.84 ,
36053870,CORD ACTIVE ACMI ELITE DAC, 56.72 ,
36053890,CUFF DUAL PORT 18IN DIDP, 110.87 ,
36053950,DERMACARRIER 3-1 2195-13, 52.48 ,
36053960,DERMACARRIER SKIN GRAF 2195-12, 83.98 ,
36053980,DEVICE CL BMERANG 500-580C-10U," 6,271.05 ",
36053990,DEVICE CL BMERNG 600-580CP-10U," 6,629.39 ",
36054030,DEVICE ENDO PEANUT 5MM 1/4\X4, 78.70 ,
36054100,DEVICE FIBER DEL 840-843," 1,808.48 ",
36054110,DEVICE FIBER DEL LASER 1000," 3,708.88 ",
36054120,DEVICE FIBER DEL LASER 200," 4,477.53 ",
36054130,DEVICE FIBER DEL LASER 550," 3,010.11 ",
36054160,DEVICE SPECIMEN RADIOGRAP 8392, 60.68 ,
36054170,DEVICE SUT CAPTURING STD, 891.37 ,
36054180,DEVICE SUT ENDO STITCH 10MM, 464.20 ,
36054200,DEVICE VASCULAR ACCESS 18G, 304.60 ,
36054210,DILATOR VASCULAR TD 6FR 20CM, 38.69 ,
36054230,DRAIN RELIAVAC 7MM FUL LEN PRF, 99.97 ,
36054240,DRAPE ARTHROSCOPY, 52.15 ,
36054250,DRAPE ARTHROSCOPY KNEE, 58.84 ,
36054260,DRAPE C ARM 1101, 52.52 ,
36054270,DRAPE CLSED SYS VID CAM 7 X 96, 55.37 ,
36054280,DRAPE CRANIOTOMY, 69.85 ,
36054290,DRAPE GYN/UROLOGY, 48.90 ,
36054300,DRAPE LAPAROTOMY PAC W/POUCHES, 40.01 ,
36054310,DRAPE LASER 2903, 88.64 ,
36054320,DRAPE MINI 46INX80IN, 46.60 ,
36054330,DRAPE OPHTH 65X100, 58.76 ,
36054340,DRESSING 6X6 ANTIMICROBIAL 7 D, 75.07 ,
36054350,DRESSING HEMOSTAT SURGICEL 4X8, 315.99 ,
36054360,DRESSING HEMO SURGICL FIBR 2X4, 329.44 ,
36054370,DRSNG V.A.C. XL GR FM M6275065, 277.74 ,
36054420,DRIVER TORQUE AC-TD, 125.41 ,
36054440,ELECTRODE ADULT OEDI-PADZ, 280.98 ,
36054450,ELECTRODE BALL ROLLER ANG, 338.62 ,
36054470, ELECTRODE L-HOOK 46CM ST DISP, 329.69 ,
36054480,ELECTRODE LOOP CUT ANG, 261.28 ,
36054490,ELECTRODE PEDS OEDI-PADZ, 81.78 ,
36054520,ELECTRODES PAIRED SUBDERMAL, 247.27 ,
36054560,EVACUATOR SMOKE VAC CLEAR, 47.93 ,
36054610,FIBER OPTIC 10-2090," 3,386.38 ",
36054700,FORCEPS BIOPSY URETERSCOPI 115," 1,343.80 ",
36054710,FORCEPS CUTTING PKS 5MMX33CM, 661.16 ,
36054730,FORCEPS GRASPING 3FR 120CM, 726.95 ,
36054750,GARMENT FLUID PROTECT BOOTLEG, 52.69 ,
36054770,GAUZE KITTNER ROLL, 42.35 ,
36054780,GELPORT KII C0R47," 1,028.38 ",
36054790,GLIDECATH .038IN X 100CM X 10C, 211.43 ,
36054860,GLIDE URO  .035X150 LF 630-109, 112.38 ,
