The Bellevue Hospital Charge Listing Effective 01/01/2019,,
Description,Amount,
FAC ARTICULAR FRACTURE MCP OR P,401.00 ,
FAC AVULSION NAIL EA ADD,224.00 ,
FAC AVULSION NAIL SINGLE,341.00 ,
FAC BARTHOLINS GLAND,261.00 ,
FAC BLADDER IRRIGATION,401.00 ,
FAC CARPOMETACARPAL DISLOCATION,317.00 ,
FAC CARPOMETACARPAL DISLOCATION,317.00 ,
FAC CENTRAL LINE >5YO,"1,470.00 ",
FAC CHEST TUBE,"1,470.00 ",
FAC CLOSE UP WOUND DEHISCENCE,807.00 ,
FAC CPR,454.00 ,
FAC CRICOTHYROTOMY,"1,265.00 ",
FAC DEBRIDEMENT MEDIUM,274.00 ,
FAC DEBRIDEMENT SMALL,274.00 ,
FAC DENTAL ABSCESS,305.00 ,
FAC EXPLORATION OF PENATRATING WOUND,"1,653.00 ",
FAC EXTERNAL PACING TRANS,882.00 ,
FAC EYE LAVAGE DR,"1,890.00 ",
FAC FB REMOV CONJUNC EMBE,420.00 ,
FAC FB REMOV CORNEA SMPL,523.00 ,
FAC FB REMOV CORNEA W SLI,224.00 ,
FAC FB REMOV EYELID,559.00 ,
FAC FB REMOVAL,247.00 ,
FAC FB REMOVAL,247.00 ,
FAC FB REMOVE CONJUNC SUP,190.00 ,
FAC FINGER ABS CMPL,"2,081.00 ",
FAC FINGER ABS SMP,305.00 ,
FAC FINGER JNT DISLOC EA,"1,575.00 ",
FAC FINGER JNT DISLOC W A,368.00 ,
FAC FINGER JOINT DISLOC WO ANES,317.00 ,
FAC G TUBE,375.00 ,
FAC GASTRIC LAVAGE,315.00 ,
FAC GREAT TOE FX W MANIP,401.00 ,
FAC HEMATOMA SEROMA FLD C,"1,890.00 ",
FAC HIP DISLOC WO ANES,401.00 ,
FAC I&d HEMA EXT EAR SKIN,473.00 ,
FAC INC REMOVE SUBCUT CMP,"2,889.00 ",
FAC INC REMOVE SUBCUT SMP,467.00 ,
FAC INITIAL RX 1DEGREE BU,224.00 ,
FAC INJ FINGERS TOE BURSA,437.00 ,
FAC INJ SHOULD HIP KNEE,437.00 ,
FAC INJ WRIST ELBOW ANKLE,607.00 ,
FAC IV NEEDLE PLACEMENT,394.00 ,
FAC IV START BY DR,161.00 ,
FAC KNEE DISLOC WO ANES C,401.00 ,
FAC LEG LONG CAST,375.00 ,
FAC LEG LONG SPLINT OCL,345.00 ,
FAC LEG SHORT CAST,375.00 ,
FAC LEG SHORT SPLINT OCL,249.00 ,
FAC LUMBAR PUNCTURE,804.00 ,
FAC MANDIBULAR DISL WO AN,345.00 ,
FAC M-P DISLOC FOOT,401.00 ,
FAC M-P DISLOC HAND WO AN,401.00 ,
FAC MUSC TEND SHEATH CMP,"3,818.00 ",
FAC MUSC TEND SHEATH SMP,"1,575.00 ",
FAC NAIL REMOVAL,463.00 ,
FAC NOSE FX MANI WO STAB,"2,769.00 ",
FAC PACK SUPERF WOUND DEH,507.00 ,
FAC PARACENTESIS ABDOMINAL,"1,050.00 ",
FAC PATELLA DISLOC W ANES,326.00 ,
FAC PATELLA DISLOC WO ANE,317.00 ,
FAC PERIANAL ABSCESS,"2,575.00 ",
FAC PERICARDIOCENTESIS,998.00 ,
FAC PERIRECTAL ABSCESS,"3,007.00 ",
FAC PERITONSILLER ABSCESS,681.00 ,
FAC PHALANX FX PROX MIS W,401.00 ,
FAC PILONIDAL CYST,788.00 ,
FAC POST PACK CAUTERY INI,244.00 ,
FAC POST PACK CAUTERY SUB,268.00 ,
FAC PROCTO FB REMOVAL,"3,897.00 ",
FAC PROXIMAL FIBULA SHFT,"3,327.00 ",
FAC PUNC ASP ABSCESS,548.00 ,
FAC RADIAL NURSEMAID,317.00 ,
FAC RECTUM ABSCESS,"2,730.00 ",
FAC REMOV FECAL IMPACTION,977.00 ,
FAC REMOV HEMORRHOID CLOT,"3,888.00 ",
FAC REMOVAL FB SIMPLE,499.00 ,
FAC REMOVE CERUMEN LAVAGE,161.00 ,
FAC REMOVE FB FOOT DEEP,"2,889.00 ",
FAC REMOVE FB FOOT SUBQ,"1,551.00 ",
FAC REMOVE FB W LARYNGOSC,321.00 ,
FAC REPAIR NAIL BED,773.00 ,
FAC SCAPULA FX,317.00 ,
FAC SESAMOID FX CLS TRTM,317.00 ,
FAC SHOULDER DISLOC W ANE,"2,484.00 ",
FAC SHOULDER DISLOC WO AN,401.00 ,
FAC TARSAL BONE DISLOC WO,317.00 ,
FAC TARSOMETATAR JNT DISL,317.00 ,
FAC TENDON EXT REPAIR,"3,360.00 ",
FAC THORACENTESIS,919.00 ,
FAC THORACENTSIS W TUBE,919.00 ,
FAC THORACOTOMY,433.00 ,
FAC TIBIA INTRACOND SP FX,401.00 ,
FAC TIBIA SHAFT FX,467.00 ,
FAC TIBIAL SHFT FX W MANI,"2,158.00 ",
FAC TOE FRACTURE MANIP EA,317.00 ,
FAC TOE W ANES,368.00 ,
FAC TOE WO ANES,317.00 ,
FAC TRACHEOSTOMY,"1,365.00 ",
FAC TRANSVENOUS PACING,"12,279.00 ",
FAC ULNA STYLOID FX,401.00 ,
FAC VENIPUNCTURE BY DR,161.00 ,
FAC VENOUS CUTDOWN <1YO,433.00 ,
FAC VENOUS CUTDOWN >1YO,515.00 ,
FAC VP FEMORAL JUGUAL<3,224.00 ,
FAC VP OTHER VEIN <3YO,161.00 ,
FAC VP SCALP VEIN <3YO,161.00 ,
FAC VULVA PERINEAL ABSCESS,423.00 ,
FEMORAL NERVE BLOCK,814.00 ,
FINGER SPLINT APPLICATION,204.00 ,
GENITAL PROCEDURE,315.00 ,
GLIDESCOPE,132.00 ,
GLUCOSE BLOOD BY STRIP,13.00 ,
HAND FINGER STRAPPING,202.00 ,
HIP RED PST ARTHRO WO AN,401.00 ,
IMMUNIZATION ADMIN,101.00 ,
IMMUNIZATION ADMIN EA ADD,63.00 ,
INJ ANESTH FACIAL NERVE,247.00 ,
INJ SUBQ IM ER,137.00 ,
INTRAOSSEOUS IV NURSE ER,394.00 ,
INTUBATION,433.00 ,
IV HYDRATION 31 TO 60 MIN ER,419.00 ,
IV HYDRATION ADDTL 30 MIN ER,342.00 ,
IV INFUSION CONCURRENT,202.00 ,
IV INFUSION SEQUENTIAL,202.00 ,
IV INFUSION W MEDS ADDTL HR,342.00 ,
IV PUSH MED ER,288.00 ,
IV PUSH SEQUENTIAL SAME DRUG,137.00 ,
LAYER FACE EARS LIPS <2.5 CM,507.00 ,
LAYER FACE EARS LIPS >30 CM,507.00 ,
LAYER FACE EARS LIPS 12.6 TO 20 CM,507.00 ,
LAYER FACE EARS LIPS 2.6-5 CM,501.00 ,
LAYER FACE EARS LIPS 20.1 TO 30 CM,507.00 ,
LAYER FACE EARS LIPS 5.1 TO 7.5 CM,501.00 ,
LAYER FACE EARS LIPS 7.6 TO12.5 CM,446.00 ,
LAYER HAND FEET NECK GENITAL <2.5 CM,446.00 ,
LAYER HAND FEET NECK GENITAL >30 CM,"1,575.00 ",
LAYER HAND FEET NECK GENITAL 12.6 TO 20,735.00 ,
LAYER HAND FEET NECK GENITAL 2.6 TO 7.5,485.00 ,
LAYER HAND FEET NECK GENITAL 20.1 TO 30,507.00 ,
LAYER HAND FEET NECK GENITAL 7.6 TO 12.5,735.00 ,
LEVEL 5 CRITICAL CARE <30MIN,"1,458.00 ",
PERIP NERVE OR BRNCH W ANES,819.00 ,
PULSE OX MULTIPLE DETERMINATION,189.00 ,
PULSE OX SINGLE DETERMINATION,49.00 ,
RADIUS SHAFT FX W MANIPULATION,"1,785.00 ",
RAPID INFUSOR,132.00 ,
REMOVAL FB MOUTH SIMPLE,893.00 ,
REPLACEMENT PICC CATH,"1,743.00 ",
SIMPLE FACE EARS LIPS >30 CM,433.00 ,
SIMPLE FACE EARS LIPS 12.6 TO 20 CM,446.00 ,
SIMPLE FACE EARS LIPS 2.6 TO 5.0 CM,268.00 ,
SIMPLE FACE EARS LIPS 20.1 TO 30 CM,446.00 ,
SIMPLE FACE EARS LIPS 5.1 TO 7.5 CM,268.00 ,
SIMPLE FACE EARS LIPS 7.6 TO 12.5 CM,268.00 ,
SIMPLE HAND FEET NECK GENITAL <2.5 CM,252.00 ,
SIMPLE HAND FEET NECK GENITAL >30 CM,433.00 ,
SIMPLE HAND FEET NECK GENITAL 12.6 TO 20,492.00 ,
SIMPLE HAND FEET NECK GENITAL 2.6 TO 7.5,252.00 ,
SIMPLE HAND FEET NECK GENITAL 20.1 TO 30,492.00 ,
SIMPLE HAND FEET NECK GENITAL7.6 TO 12.5,301.00 ,
SIMPLE SCALP TRUNK LIMB 20.1 30CM,492.00 ,
TRIMALLEOLAR ANKLE FX W MANIP,"1,575.00 ",
VEIN LIGHT,27.00 ,
CS 12 14 COCR FEMORAL HEAD 22MM,"2,283.23 ",
CS 12 14 COCR FEMORAL HEAD 22MM -2,"2,283.23 ",
CS 12 14 COCR FEMORAL HEAD 22MM 3,"2,283.20 ",
CS 12 14 COCR FEMORAL HEAD 28 MM 0,"2,283.20 ",
CS 12 14 COCR FEMORAL HEAD 28 MM 3.5,"2,283.20 ",
CS 12 14 COCR FEMORAL HEAD 28MM,"2,283.23 ",
CS 12 14 COCR FEMORAL HEAD 28MM !0.5,"2,283.23 ",
CS 12 14 COCR FEMORAL HEAD 28MM -3.5,"2,283.20 ",
CS 12 14 COCR FEMORAL HEAD 32,"2,283.20 ",
CS 2296 3 525,199.60 ,
CS ACETABULAR LINER 10 DEGREES 28MMX46MM,"6,612.00 ",
CS ACETABULAR LINER 32X48MM,"5,034.00 ",
CS ACETABULAR LINER 36MM,"5,628.00 ",
CS ACETABULAR LINER 36MM,"6,612.00 ",
CS ACETABULAR LINER STD 36MM,"3,255.00 ",
CS ACETABULAR MODULAR CUP 60MM,"11,315.00 ",
CS ACETABULAR SHELL 46MM,"9,508.00 ",
CS ACETABULAR SHELL 54MM,"5,990.00 ",
CS ACP KIT SERIES I,630.00 ,
CS ACTIFUSE ABX 1.5ML,"1,328.40 ",
CS ACTIFUSE ABX 10ML,"5,118.80 ",
CS ACTIFUSE ABX 2.5ML,"2,527.20 ",
CS ACTIFUSE ABX 20ML,"8,703.00 ",
CS ACTIFUSE ABX 5ML,"2,999.30 ",
CS ACTIFUSE SHAPE 1.6ML,"1,684.80 ",
CS ACTIFUSE SHAPE 15.8ML,"8,687.00 ",
CS ACTIFUSE SHAPE 2.6ML,"3,159.00 ",
CS ACTIFUSE SHAPE 8ML,"4,533.80 ",
CS ACTIVEBARRIER 200 AMNIOTIC MEMBRANE A,"9,366.00 ",
CS ACTIVEBARRIER AMNIOTIC MEMBRANE ALLOG,"11,241.00 ",
CS ACTIVEBARRIER AMNIOTIC MEMBRANE ALLOG,"11,240.00 ",
CS ACTIVEBARRIER PLACENTAL TISSUE ALLOGR,"1,123.88 ",
CS ACUSTICK INTRO W SS WI,277.20 ,
CS ADAP URETHAL CATH,1.70 ,
CS ADAPTER AIRWAY STRT W,18.80 ,
CS ADAPTER CANNISTER,6.00 ,
CS ADAPTER FEEDING TUBE,28.80 ,
CS ADAPTER O2 FIT ON RAM CANNULA,6.00 ,
CS ADAPTER PF WATER BOTTLE,16.00 ,
CS ADAPTER SWIVEL,25.00 ,
CS ADAPTER TRACH,3.20 ,
CS ADAPTIC 3X3,0.90 ,
CS ADAPTIC 3X8,3.00 ,
CS ADAPTOR UROLOK,61.20 ,
CS ADHESION BARRIER,292.50 ,
CS ADHESIVE INDERMIL TISS,88.10 ,
CS ADHESIVE SKIN HISTOACR,72.90 ,
CS ADP URETERAL CATH CONN,72.00 ,
CS AFFINITY 2.25CM,792.00 ,
CS AFFINITY 6.25CM,573.00 ,
CS AIRWAY ADAPTER,35.00 ,
CS AIRWAY INFANT 00,6.10 ,
CS AIRWAY INFANT 000,6.50 ,
CS AIRWAY NASO 26FR,15.00 ,
CS AIRWAY NASO 28FR,15.00 ,
CS AIRWAY NASO 30FR,15.00 ,
CS AIRWAY NASO 32FR,11.40 ,
CS AIRWAY NASO 34FR,15.00 ,
CS AIRWAY PERILARYG  4,23.00 ,
CS AIRWAY PERILARYNG  3,23.00 ,
CS AIRWAY PERILARYNG  5,23.00 ,
CS AIRWAY PERILARYNGEAL 1,19.60 ,
CS AIRWAY PERILARYNGEAL 2,23.00 ,
CS AIRWAY SIZE 0,2.40 ,
CS AIRWAY SIZE 1,3.00 ,
CS AIRWAY SIZE 2,3.00 ,
CS AIRWAY SIZE 3,3.00 ,
CS AIRWAY SIZE 4,3.00 ,
CS AIRWAY SIZE 5,3.00 ,
CS AIRWAY SIZE 6,4.50 ,
CS AL TREX NEUT 36IDX540D,"5,628.00 ",
CS ALLOGRAFT PLACENTAL TISSUE MATRIX .50,"5,053.00 ",
CS AMNIHOOK,5.60 ,
CS AMNIOEXCEL ALLOGRAFT MEMBRANE 1 SQ CM,226.00 ,
CS AMNIOFILL 250MG,"2,070.00 ",
CS AMNIOFILL 500MG,"2,875.00 ",
CS AMNIOMATRIX ALLOGRAFT SUSPENSION 2.0M,"4,500.00 ",
CS AMNIOMATRIX ALLOGRAFT SUSPENSION 3.0M,"1,750.00 ",
CS ANASCOPE DISP CLEAR,2.00 ,
CS ANCHOR CLICK,"1,215.00 ",
CS ANCHOR ECLIPSE SOFT TISSUE 5MMX20MM,"2,552.00 ",
CS ANCHOR ECLIPSE SOFT TISSUE 6X20MM,"2,552.00 ",
CS ANCHOR SU CORKSCREW 5.0,702.00 ,
CS ANCHOR SU CORKSCREW 6.5,702.00 ,
CS ANESTHESIA ADULT CIRCUIT,8.60 ,
CS ANESTHESIA PEDIATRIC CIRCUIT,19.70 ,
CS ANGIOCATH 14GA,1.80 ,
CS ANKLE ARTHRODESIS LEFT 11X300 MM,"3,911.00 ",
CS ANTERIOR FEMORAL AUGMENT BLOCK SIZE D,"3,710.00 ",
CS APEX HOLE ELIM POS STOP,"1,020.00 ",
CS APEX TRANSFIX 4X250 PIN 5X50THR,332.00 ,
CS APLIGRAF 44 SQ CM,106.00 ,
CS APP CHORAPREP 26ML TL,32.00 ,
CS APPLICATOR ARISTA XL,180.00 ,
CS APPLICATOR ELLIP 4 6CM,"5,500.00 ",
CS APPLICATOR LAP EXT,184.70 ,
CS APPLICATOR MALLEABLE,146.20 ,
CS APPLICATOR RTS 4 5CM,"5,500.00 ",
CS APPLICATOR RTS 5 6CM,"5,500.00 ",
CS APPLIER CLIP 10MM,398.00 ,
CS APPLIER CLIP AUTO ENDO 5,669.00 ,
CS ARMBOARD ADULT,16.00 ,
CS ARMBOARD NEONATAL,8.00 ,
CS ARMBOARD PEDIATRIC,9.00 ,
CS ARTHROFLEX 40X70X3.0,"9,868.00 ",
CS ARTICULAR SURFACE  RIGHT 14MM,"3,245.00 ",
CS ARTICULAR SURFACE 10 MM RIGHT,"3,245.00 ",
CS ARTICULAR SURFACE 10MM,"9,625.00 ",
CS ARTICULAR SURFACE 10MM EF,"8,228.00 ",
CS ARTICULAR SURFACE 10MM FIXED BEARING,"9,625.00 ",
CS ARTICULAR SURFACE 10MM LEFT,"7,474.00 ",
CS ARTICULAR SURFACE DIXED CPS RIGHT 14M,"10,000.00 ",
CS ARTICULAR SURFACE FEMORAL SIZE 3 UNI,"2,221.90 ",
CS ARTICULAR SURFACE FIXED BEARING LEFT,"3,245.00 ",
CS ARTICULAR SURFACE FIXED RIGHT 10MM,"3,245.00 ",
CS ARTICULAR SURFACE INSERTER TIP,432.00 ,
CS ARTICULAR SURFACE LEFT 10MM,"3,245.00 ",
CS ARTICULAR SURFACE LEFT 10MM,"3,245.00 ",
CS ARTICULAR SURFACE LEFT 10MM,"3,245.00 ",
CS ARTICULAR SURFACE LEFT 10MM CPS,"10,000.00 ",
CS ARTICULAR SURFACE LEFT 10MM FIXED,"3,245.00 ",
CS ARTICULAR SURFACE LEFT 10MM SIXZES 6-,"3,245.00 ",
CS ARTICULAR SURFACE LEFT 12MM PERSONA,"5,885.00 ",
CS ARTICULAR SURFACE LEFT 13MM FIXED BEA,"3,245.00 ",
CS ARTICULAR SURFACE LEFT 14MM HEIGHT,"3,245.00 ",
CS ARTICULAR SURFACE PERSONA RIGHT 12MM,"9,343.00 ",
CS ARTICULAR SURFACE PERSONA RIGHT 14MM,"3,245.00 ",
CS ARTICULAR SURFACE RIGHT 0MM,"3,245.00 ",
CS ARTICULAR SURFACE RIGHT 10MM,"7,474.00 ",
CS ARTICULAR SURFACE RIGHT 10MM,"3,245.00 ",
CS ARTICULAR SURFACE RIGHT 10MM HEIGHT,"10,000.00 ",
CS ARTICULAR SURFACE RIGHT 10MM TIBIA E,"10,000.00 ",
CS ARTICULAR SURFACE RIGHT 11MM,"3,245.00 ",
CS ARTICULAR SURFACE RIGHT 12MM,"7,474.00 ",
CS ARTICULAR SURFACE RIGHT 12MM HEIGHT,"3,245.00 ",
CS ARTICULAR SURFACE RIGHT 14MM,"3,245.00 ",
CS ARTICULAR SURFACE RIGHT 14MM,"5,885.00 ",
CS ARTICULAR SURFACE RIGHT 16MM,"7,474.00 ",
CS ARTICULAR SURFACE RIGHT 16MM,"9,625.00 ",
CS ARTICULAR SURFACE SIZE 4 8MM,"2,221.90 ",
CS ARTICULAR SURFACE SIZE E 12MM ROTATIN,"7,183.00 ",
CS ARTICULAR SURFACE SIZE E RIGHT,"6,975.00 ",
CS ARTICULAR SURFACE SIZE GREEN,"7,836.00 ",
CS ARTICULAR SURFACE UNICOMPARTMENTAL,"2,221.90 ",
CS ARTICULAR SURGACE FIXED LEFT,"3,245.00 ",
CS ARTIFICIAL NOSE,17.40 ,
CS ASPIRATOR MECONIUM,13.00 ,
CS ATTACHMENT MECHE AO 2.7MM,"1,036.00 ",
CS BAG ANESTHESIA BREATH,5.30 ,
CS BAG BILE,29.90 ,
CS BAG BREATHING ANESTHESIA 22MM,5.00 ,
CS BAG DISPOSIBLE LEG,6.00 ,
CS BAG DS RESUSCITATION,31.30 ,
CS BAG ENTERC FEEDNG,14.40 ,
CS BAG INFANT RESUS,44.10 ,
CS BAG INFANT RESUSITATION FBC UNIT,63.00 ,
CS BAG ISOLATION,35.00 ,
CS BAG LEG W FABRIC STRIP,5.00 ,
CS BAG PED RESUSITATION,46.90 ,
CS BAG PEDIATRC URINE,1.10 ,
CS BAG PRESSURE INDUSOR 1000 ML,81.60 ,
CS BAG PRESSURE INFUSOR 3000ML,53.00 ,
CS BAG PRESSURE INFUSOR 500,32.10 ,
CS BALL JURGAN W045YL,22.00 ,
CS BALL JURGAN W062GN,26.00 ,
CS BALL JURGAN W332CR,16.80 ,
CS BALL JURGAN W564BL,16.80 ,
CS BALLOON 240CC,"1,411.20 ",
CS BALLOON BAKRI PP HEMOR,896.00 ,
CS BALLOON CERIVICA RIPEN,136.80 ,
CS BALLOON NEPHRO TAMPONA,627.90 ,
CS BALLOON RETRIV 7FR15M,472.60 ,
CS BALLOON URE DILAT,351.90 ,
CS BAND BREAST AUMENTATI,38.00 ,
CS BAND COVER ROLL 2X10,24.20 ,
CS BAND MEDICOPASTE CALA,28.70 ,
CS BANDAGE 2IN CONFM,0.50 ,
CS BANDAGE 3IN CONFM,0.60 ,
CS BANDAGE 4IN CONFM,0.70 ,
CS BANDAGE 6IN CONFM,2.00 ,
CS BANDAGE ACE 2IN,1.70 ,
CS BANDAGE ACE 3IN,2.20 ,
CS BANDAGE ACE 4IN,3.00 ,
CS BANDAGE ACE 6IN,4.20 ,
CS BANDAGE COMPRESSION 1.5X5.5YD,15.00 ,
CS BANDAGE COMPRESSION 10CMX5M,38.00 ,
CS BANDAGE COMPRESSION 12CMX5M,45.00 ,
CS BANDAGE COMPRESSION 8CMX5M,33.00 ,
CS BANDAGE ELASTIC 6IN STERILE,4.00 ,
CS BANDAGE ELASTIC W VELCRO 2 INCH,1.00 ,
CS BANDAGE ELASTIC W VELCRO 3 INCH,2.00 ,
CS BANDAGE ESMARCH 4X19L,25.30 ,
CS BANDAGE ESMARCH LF3X5,19.40 ,
CS BANDAGE ESMARK 4INX9IN,7.60 ,
CS BANDAGE ESMARK 6X9,15.60 ,
CS BANDAGE FAST 2IN,5.50 ,
CS BANDAGE FAST 2X3,4.10 ,
CS BANDAGE FAST 3IN,6.60 ,
CS BANDAGE FAST 3X3,5.30 ,
CS BANDAGE FAST 4IN,6.60 ,
CS BANDAGE FAST 6IN,13.30 ,
CS BANDAGE KERLIX,2.00 ,
CS BANDAGE KERLIX,2.20 ,
CS BANDAGE MEDICOPST,27.10 ,
CS BANDAGE MUSLIN 4INX5IN,4.60 ,
CS BANDAGE ORTHO FLE,14.70 ,
CS BARRIER SENSURA MIO FLEX CONVEX LIGHT,18.00 ,
CS BASKET 22MM,544.00 ,
CS BASKET 3 WIRE SEQURA,673.10 ,
CS BASKET 31MM,544.00 ,
CS BASKET 4 WIRE SEGURA,673.10 ,
CS BASKET ESCAPE 1.9 X 120C,894.50 ,
CS BASKET ESCAPE 1.9X90C,712.80 ,
CS BASKET GEMINI 2.4,673.10 ,
CS BASKET GEMINI 3.0,673.10 ,
CS BASKET OPTIFLEX,871.20 ,
CS BASKET STIFF WIRE,"1,161.00 ",
CS BASKET STONE RET 4FR,350.80 ,
CS BASKET STONE RETR 4FR,390.40 ,
CS BASKET STONE RETRIVAL 4X11,368.30 ,
CS BASKET ZERO TIP 2.4FR,680.40 ,
CS BASKET ZERO TIP 3.0FR,644.40 ,
CS BATTERY PACING,"13,125.00 ",
CS B-B TAK,257.40 ,
CS BB-TAK THREADED,306.00 ,
CS BEARING ANATOMIC MENISCAL SIZE 4,"4,065.00 ",
CS BEARING ANATOMIC MENISCAL SMALL 4MM,"2,875.00 ",
CS BEARING OXFORD SM RIGHT MEDIAL 3 MM,"2,845.00 ",
CS BEAVER BLADE 6083,41.80 ,
CS BEAVER BLADE 6984,33.20 ,
CS BEAVER BLADE 9081,29.10 ,
CS BELT OSTOMY BRAVA MIO,17.00 ,
CS BELT OSTOMY HOLLISTER,10.00 ,
CS BILAYER MATRIX WOUND DRESSING 4X5,785.00 ,
CS BILIBAND REGULAR,12.00 ,
CS BILICOMBI DISP,40.60 ,
"CS BINDER ABDOMINAL XXL 10""",40.00 ,
CS BINDER UNIVERSAL,30.20 ,
CS BINDER WAIST LARGE,154.80 ,
CS BINDER WAIST MEDIUM,154.80 ,
CS BINDER WAIST SMALL,154.80 ,
CS BINDER WAIST X LARGE,154.80 ,
CS BIO ACHILLES SPEEDBRIDGE W JUMPSTART,"4,988.00 ",
CS BIO PUSHLOCK 3X14MM,"1,296.00 ",
CS BIO STR TOK ANCHOR3.0,"1,098.00 ",
CS BIOCARTILAGE 1CC,"3,528.00 ",
CS BIOFLO MIDLINE CATH,558.00 ,
CS BIOMET BONE CEMENT,234.00 ,
CS BIOP SIT TRIMARK 13,234.00 ,
CS BIOP SITE TRIMARK 10,234.00 ,
CS BIOP SM ATEC S12,258.60 ,
CS BIOP SM ATEC S9,270.00 ,
CS BIOP SM EVIVA S13,258.60 ,
CS BIOP SYSTEM EASY 15X10,172.80 ,
CS BIOP SYSTEM EASY 15X15,172.80 ,
CS BIOPSY CELERO MARK,270.00 ,
CS BIOPSY FORCEP PED 2.0MM RADIAL JAW,312.00 ,
CS BIOPSY INTRDUCER 12GA,61.20 ,
CS BIOPSY SECUREMARK,270.00 ,
CS BIOPSY SPRING LOAD COR,756.00 ,
CS BIOPSY SYSTEM 18X21,243.40 ,
CS BIOPSY TISSUE FILTER,14.40 ,
CS BIOSURE PK 6X25MM,"1,080.00 ",
CS BIPOLAR LINER 40 41MM OD X 22 MM ID,"1,986.05 ",
CS BIPOLAR LINER 42 43 OD X 22MM ID,"1,224.18 ",
CS BIPOLAR LINER 44 45 46 MM OD X 28MM I,"1,224.20 ",
CS BIPOLAR LINER 47 48 49MM OD X 28MM ID,"1,224.20 ",
CS BIPOLAR LINER 50 51 52MM OD X 28MM ID,"1,224.20 ",
CS BIPOLAR LINER 53 54 55MM OD X28MM ID,"1,224.18 ",
CS BIPOLAR LINER 57 58MM OD X 28MM ID,"1,224.18 ",
CS BIPOLAR LINER 60 62MM OD X 28MM ID,"1,224.18 ",
CS BIPOLAR SHELL 40 MM OD,"1,986.10 ",
CS BIPOLAR SHELL 41MM OD,"1,986.10 ",
CS BIPOLAR SHELL 42MM OD,"1,986.05 ",
CS BIPOLAR SHELL 43MMOD,"1,986.10 ",
CS BIPOLAR SHELL 44MM OD,"1,986.10 ",
CS BIPOLAR SHELL 45MM OD,"1,986.10 ",
CS BIPOLAR SHELL 46MM OD,"1,986.10 ",
CS BIPOLAR SHELL 47MM OD,"1,986.05 ",
CS BIPOLAR SHELL 48MM OD,"1,986.10 ",
CS BIPOLAR SHELL 49MM OD,"1,986.10 ",
CS BIPOLAR SHELL 50MM OD,"1,986.05 ",
CS BIPOLAR SHELL 51 MM OD,"1,986.05 ",
CS BIPOLAR SHELL 52 MM OD,"1,986.10 ",
CS BIPOLAR SHELL 53MM OD,"1,986.10 ",
CS BIPOLAR SHELL 54MM OD,"1,986.05 ",
CS BIPOLAR SHELL 55MM OD,"1,986.05 ",
CS BIPOLAR SHELL 57MM OD,"1,986.05 ",
CS BIPOLAR SHELL 58MM OD,"1,986.05 ",
CS BIPOLAR SHELL 60MM OD,"1,986.05 ",
CS BIT 2.5MM CALIBRATED DRILL,245.00 ,
CS BIT DRILL 1.1MM,540.00 ,
CS BIT DRILL 2.0MM,540.00 ,
CS BIT DRILL 2.0MM,417.60 ,
CS BIT DRILL 2.2MM,540.00 ,
CS BIT DRILL 2.5MM,540.00 ,
CS BIT DRILL 6MM,540.00 ,
CS BIT DRILL CANNULATED 2.0MM,702.00 ,
CS BIT DRILL CANNULATED 2.2MM,702.00 ,
CS BIT DRILL QC 2.5MMX110MM,450.00 ,
CS BIT DRILL QC 3.5MMX110MM,450.00 ,
CS BIT DRILL REV 2.5MM,"1,080.00 ",
CS BIT DRILL REV SHOULDER,"1,260.00 ",
CS BIT STANDARD DRILL 1.6,680.40 ,
CS BLAD STERNAL 298 97 10,110.90 ,
CS BLADE 2.5 MM AGGRESSIVE,429.90 ,
CS BLADE 3M U551,108.00 ,
CS BLADE 3M U650,108.00 ,
CS BLADE 3M U651,108.00 ,
CS BLADE 4.5MM ANGLED SHAVER,218.00 ,
CS BLADE 40 CONVEX ANGLED,460.80 ,
CS BLADE 5052 276,140.40 ,
CS BLADE 5300 10 63,72.00 ,
CS BLADE 5300 10 708,72.00 ,
CS BLADE 5300 10 710,224.90 ,
CS BLADE 5300 10 714,224.90 ,
CS BLADE 5300 10 716,224.90 ,
CS BLADE 5300 20 503,72.00 ,
CS BLADE 5300 20 712,72.00 ,
CS BLADE 5305 25 131,72.00 ,
CS BLADE 5305 25 132,72.00 ,
CS BLADE 5305 25 133,72.00 ,
CS BLADE 5305 25 134,72.00 ,
CS BLADE 5305 25 135,72.00 ,
CS BLADE 5305 25 136,72.00 ,
CS BLADE 6207,30.10 ,
CS BLADE 6208,30.10 ,
CS BLADE 6212,36.70 ,
CS BLADE 6213,49.00 ,
CS BLADE BEAVER 6400,6.40 ,
CS BLADE BIOPBLADE,4.60 ,
CS BLADE CUT BACK FULL 10M,"1,203.60 ",
CS BLADE CUT BACK FULL 9MM,"1,203.60 ",
CS BLADE DERMATOME,91.90 ,
CS BLADE DERMATOME,123.60 ,
CS BLADE DERMATONE,34.20 ,
CS BLADE DUAL CUT SAGITA,168.30 ,
CS BLADE EPF HOOK TRIANG,374.00 ,
CS BLADE GIGLI SAW 12 IN,86.00 ,
CS BLADE GVL 3 STAT,65.00 ,
CS BLADE GVL 4 STAT,65.00 ,
CS BLADE ISOGARD SYSTEM,288.00 ,
CS BLADE KOBYGARD SINGLE,555.00 ,
CS BLADE KOBYGARD SINGLE USE,869.40 ,
